"filename", "language", "Python", "Markdown", "Shell Script", "Ini", "Ignore", "Docker", "YAML", "MDX", "XML", "JSON", "Jinja", "JavaScript", "toml", "JSON with Comments", "HTML", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.dockerignore", "Ignore", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 21
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.flake8", "Ini", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/sync.yml", "YAML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/build-docker-image.yml", "YAML", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 17, 119
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/inactive-issues-and-prs.yml", "YAML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/sync-skyvern-cloud.yml", "YAML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/.pre-commit-config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 87
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/CODE_OF_CONDUCT.md", "Markdown", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 135
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/CONTRIBUTING.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 47, 184
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/Dockerfile", "Docker", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"/home/bond/Desktop/darkpatterncombined/agents/skyvern/README.md", "Markdown", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64, 268
